symbol,name,public_detail_revision,surfaces
1101,台泥,2adb09e6-91fc-4405-a0f3-e4c501179a6c,stage.found
1210,大成,39b446ff-95a0-4ea5-b783-3833e0c13ad4,stage.found
1215,卜蜂,3b986c19-cb7a-467d-ac1e-d2046b286bf1,stage.found
1303,南亞,0230d619-7680-44a1-b442-8cd372817b54,stage.found
1315,達新,f5e3676a-64df-493e-917f-ebf69af546d1,stage.found
1435,中福,7e45635d-a720-48b8-b3a3-f5f35fec10ab,stage.found
1528,恩德,4d403f1b-5d05-430b-90f5-520c20374ee4,stage.found
1560,中砂,0890210d-7aa1-4a2e-9f5a-d502dabef2c8,stage.found
1569,濱川,4dd6943e-f0dd-4d02-b0f4-98f572414d00,stage.found
1580,新麥,3d67d20a-dfb1-4a75-a951-3fce67bb30d9,stage.found
1595,川寶,686b4e75-3dde-4517-99cd-f07990d146b7,stage.found
1709,和益,d1b63476-a026-45b4-b24c-3fa49f20d00f,stage.found
1727,中華化,6178e6a9-a94a-47bf-9b75-55bea672e15d,stage.found
1730,花仙子,082fcd0d-0db8-4db8-8295-a1e366a7a669,stage.found
1815,富喬,4a0d7ae1-bac4-4a8c-8fd3-d5423282b29b,daily.found|stage.found
2033,佳大,7b245ac0-e25d-4512-a3ee-bfa8ad60a4b8,stage.found
2059,川湖,6390b307-cc32-4c8b-8180-7c0018842196,stage.found
2221,大甲,37c68fbd-8eef-481c-974f-370825b19862,stage.found
2303,聯電,09ba53da-cbe9-4cd0-89e3-6dd3840826d2,daily.found|stage.found
2308,台達電,6b9f200f-6277-48b1-806b-70cb6a547b6e,daily.found|stage.found
2313,華通,c15608f7-7fea-4098-b5ab-9c2e3a6b6218,stage.found
2317,鴻海,59bfbd97-1b0d-4403-ae2e-2b2193d223ce,stage.found
2323,中環,a1d9810f-c2cf-4ec2-8fd9-9f55216e7cc2,stage.found
2324,仁寶,6e4596fb-f09b-4ed3-8f8c-40ebe67bc18a,stage.found
2327,國巨*,2aa5960e-0a48-4e00-98bb-be7ad4f4f615,daily.found|stage.found
2330,台積電,9f13d5c5-3ec4-4d8c-8c8f-dc8450dac190,daily.found|stage.found
2337,旺宏,632ecd6d-6861-4bcf-80ef-6e31265af632,daily.found|stage.found
2342,茂矽,29f250c8-735d-494f-a587-3d5efac31c8b,stage.found
2344,華邦電,20c22ca0-6316-4358-bbd5-a20497cd8746,daily.found|stage.found
2345,智邦,0fee5776-789a-434d-9eaa-3a633ae8ba43,daily.found|stage.found
2353,宏碁,b438b0da-3dc9-4d23-b3bd-8bae1d1469c7,stage.found
2360,致茂,c1c2de91-c704-4b5f-991f-1d411c512dff,stage.found
2368,金像電,aacb4d4c-0e45-4cbc-aacb-e051f19ba87f,daily.found|stage.found
2376,技嘉,3dcd8444-a368-44ce-b166-6da989503cbe,stage.found
2377,微星,8d1ac566-0c31-4e36-9948-f6933287e9c1,stage.found
2383,台光電,1ebf2d6d-a1ea-4bf1-9e3f-81ee4974e674,daily.found|stage.found
2387,精元,3a54e141-d957-4b0e-a1aa-7b0c00ca4ae8,stage.found
2408,南亞科,7593be0b-8526-4e9d-b405-9b6c04fcc7b8,daily.found|stage.found
2409,友達,d729e8e4-0359-4345-9931-7e6ed68a13a8,daily.found|stage.found
2413,環科,f49f036f-11f3-42c3-9495-8a78b1a69f61,stage.found
2426,鼎元,11f99ae0-f35a-4250-84d3-4c2bf134416c,stage.found
2434,統懋,dadaffda-ed13-470c-b879-d1904d34c26c,stage.found
2449,京元電子,3584b153-f986-4712-a8ce-4767c7be7ad6,stage.found
2451,創見,5a4520d0-6e4d-4e69-82f2-7248b0568a7e,stage.found
2454,聯發科,e412b022-9f07-4bfd-aea7-c8e3190c9e68,daily.found|stage.found
2464,盟立,77a8cf79-67da-45c7-8547-7cc2c484231b,stage.found
2468,華經,186f2941-5646-4c63-992f-bfb83ef07e21,stage.found
2489,瑞軒,2eacb428-7674-4ee5-ad1c-66e93ee01436,stage.found
2491,吉祥全,1e030bdd-a473-4914-826a-f8054b25b409,stage.found
2492,華新科,67b9eb16-b666-432b-9fa7-7839a48d9d32,stage.found
2527,宏璟,6a5fc10f-e730-4522-91b2-9b8d8517bfd2,stage.found
2535,達欣工,81706132-2b53-40aa-9ee3-df8d899e0b68,stage.found
2545,皇翔,f12437a9-3955-48b7-825e-b1f0f5a061dc,stage.found
2618,長榮航,0b4a6d1c-4637-4df1-8174-677e475f9da2,stage.found
2723,美食-KY,ac51b32b-efc7-4ae2-84e2-cabf87bcf9be,stage.found
2881,富邦金,ac7ed0e1-59fc-4fd8-911c-4e3def6abb7f,stage.found
2887,台新新光金,344a9cde-71f9-4db6-9ad8-3e90754b4553,stage.found
2891,中信金,44c86178-6fdf-46e3-b112-938805d8295e,stage.found
3006,晶豪科,d9819f2b-b4ca-4949-bf1a-bf45f4629343,stage.found
3016,嘉晶,9815e97a-a184-42e3-8483-ee98f0c8a656,stage.found
3017,奇鋐,a223ecfa-e01c-4b67-aef7-0217cbd2260b,stage.found
3026,禾伸堂,2b6bdef1-6d1f-4c73-bb76-9027ebbaec0f,stage.found
3028,增你強,e78191ff-70ea-4c71-bff8-daaeeeab4274,stage.found
3035,智原,5a7f8158-2fb7-47c4-bb63-a97ab9c25e92,daily.found|stage.found
3037,欣興,ed62b390-d083-4267-9ce4-c9f96babcf51,daily.found|stage.found
3042,晶技,fa33f9f9-93d0-4024-bfc7-d8a6bf57fbe9,stage.found
3045,台灣大,3424c25f-92aa-4700-bc28-1523d0e52b9e,stage.found
3055,蔚華科,ab455657-ab2a-4b62-9f67-d855041034bc,stage.found
3094,聯傑,5503f378-c1bd-45ce-9a53-0cc695ce4d34,stage.found
3105,穩懋,3f3e524e-4a29-460e-98c1-0b48c4372d16,daily.found|stage.found
3150,鈺寶-創,7b0bd6b8-125d-466d-b336-6703fecfb9d5,stage.found
3189,景碩,047e0576-ef92-41bf-a270-887cde96fbd3,daily.found|stage.found
3219,倚強科,467c6b13-c4bb-421e-a99f-d1f4a5b02108,stage.found
3229,晟鈦,3bb3027f-24eb-45c5-9cfc-b88a93c0173e,stage.found
3231,緯創,f0685664-2cda-477d-9e35-8798f49766e6,stage.found
3260,威剛,6eb2bb7d-c8c9-407a-8d15-1d649c36fe1d,stage.found
3264,欣銓,e034483b-674a-4191-8e3a-646be8993ca6,stage.found
3317,尼克森,e1f09255-c7a0-41b1-b888-dde40a8c2d09,stage.found
3324,雙鴻,4fe4dc0d-30af-431a-8fb8-a3bb37ab310c,stage.found
3339,泰谷,5ace1492-fa92-4880-add8-0bf0c2b293ac,stage.found
3374,精材,0a26370a-938f-460b-8cb2-55865979ef76,daily.found|stage.found
3376,新日興,3df22774-6aec-4fd5-84a1-3e0293f3622b,stage.found
3430,奇鈦科,99e4089a-19e8-4955-a54d-fb09a007db5d,stage.found
3443,創意,ad84aec1-2ed4-48b9-b2b4-f0b0989dfc12,daily.found|stage.found
3450,聯鈞,21795cee-8191-4a19-9970-13fe9624276d,stage.found
3467,台灣精材,0ea8f39e-9af8-455f-a253-e1fa03476f58,stage.found
3481,群創,8c5b30e7-d099-4ee0-b378-cc128a6f5f29,stage.found
3529,力旺,524e39d3-1058-4ad6-9fe1-19bce7f3db5b,daily.found|stage.found
3532,台勝科,0532b5a3-2498-4b11-94bb-343c70b3ca2a,stage.found
3533,嘉澤,4ed1535a-c1fa-4cee-a2fd-425531d4a88d,stage.found
3605,宏致,2652e671-1219-40a3-b53b-85b37621d519,stage.found
3624,光頡,2c83eca7-d82d-43b1-b83f-70564b83a0d2,stage.found
3629,地心引力,a683e3dc-14ee-4533-b1e5-ef6fb3c28554,stage.found
3653,健策,78381949-a444-4a93-83d3-66f0be720572,stage.found
3661,世芯-KY,a5953226-1bb5-420a-b1cb-11d55124767e,daily.found|stage.found
3665,貿聯-KY,24042139-db4b-4047-afd2-8904bdf3245d,stage.found
3707,漢磊,125f0fa5-cf72-4775-9a63-154290991f02,stage.found
3711,日月光投控,7b53c365-3104-4e72-a52b-d4815c53bc3a,daily.found|stage.found
3717,聯嘉投控,2bbde370-f153-4858-956a-0787ab994e4a,stage.found
4770,上品,a1039919-be75-4c71-acbc-4fef3aa0ff13,stage.found
4804,大略-KY,0c1371f1-b03f-4820-a67f-61e2bafc8d5a,stage.found
4903,聯光通,026bc2b9-afce-46d2-979a-e6144c204f20,stage.found
4916,事欣科,573ab4c7-e042-406e-b540-73f6e07cb782,stage.found
4923,力士,dabe96c5-500e-4080-aa87-3be52026c384,stage.found
4951,精拓科,1dc7a4ca-26c5-4daa-868f-def8fb8eeaeb,stage.found
4956,光鋐,819cfd80-301e-477d-b1fa-222ffdb87d07,stage.found
4958,臻鼎-KY,61c72603-c4b8-444e-b00e-862aa265b570,daily.found|stage.found
4979,華星光,f3328465-e9fc-4aca-960f-885ba7817726,daily.found|stage.found
5274,信驊,45e885e6-951b-46f6-a80b-d090ac4851f1,daily.found|stage.found
5289,宜鼎,486973a2-527f-436a-a521-9a764273ebc8,stage.found
5314,世紀*,39c69e9f-c830-4d90-af76-d6d9404de73d,stage.found
5347,世界,4ab30157-0b30-4368-9d04-469164b4bcc6,daily.found|stage.found
5434,崇越,2c6bd3b3-8928-47b6-a0dc-6fa25ac24b2a,stage.found
5475,德宏,922f3102-1d50-46ae-892a-2ee0810f740b,stage.found
5483,中美晶,d2d1c299-074d-4538-aee8-4b1ee7631f20,daily.found|stage.found
6000,6000,,stage.found
6147,頎邦,5d1afa80-ce6e-4bef-b2d5-35467f7a206e,daily.found|stage.found
6148,驊宏資,8c0dc5ee-8e14-48e0-a01b-212df9799580,stage.found
6168,宏齊,9e44b81b-a4bd-47b4-986e-ba891f79f5b5,stage.found
6173,信昌電,25664bdf-dc66-4270-b36e-f14841ac8a34,stage.found
6179,亞通,2790ca05-f5ad-4b33-a9ec-9e18e803beaa,stage.found
6182,合晶,d2cddd55-4ae5-4432-b435-c2f9069b4d58,stage.found
6196,帆宣,8f9bcede-f3f6-4b62-bb58-a96c289579ce,daily.found|stage.found
6197,佳必琪,cfae3286-0857-4b48-9d55-d430279ecdf4,stage.found
6199,天品,3fac69ba-7b6b-4e69-ba59-eb198265a94d,stage.found
6205,詮欣,6f0e656c-c8f8-4cc0-ad5d-928a6002c3f7,stage.found
6207,雷科,875ed0c9-09ef-4536-a0da-723282fea451,stage.found
6213,聯茂,c178454c-6c01-432b-a5fe-d52ee26b1e63,daily.found|stage.found
6214,精誠,04ea63d6-f9bc-4600-9ff4-d912cfc57023,stage.found
6218,豪勉,aef97fe5-4b92-40da-ad91-993112ad5227,stage.found
6223,旺矽,acff7d19-217a-4280-b9e3-bf78fd58cab6,daily.found|stage.found
6225,天瀚,e10b8223-9082-4b81-b48f-3fb69d95c431,stage.found
6226,光鼎,db6e7c3c-dbf3-44a8-b2ec-93c0cb8de4a4,stage.found
6239,力成,2a56626e-fff0-4160-bca4-7ca51c5f442e,stage.found
6274,台燿,20e899ba-f710-489c-906e-20385d6a8e5e,daily.found|stage.found
6426,統新,ae9d40ec-cd58-45ac-96fa-76bafe7bcc90,stage.found
6446,藥華藥,9ab47a41-07bc-4b90-b0a9-6400d018b6b1,stage.found
6488,環球晶,c84f458d-22e4-4e84-95e2-19750312dd8f,daily.found|stage.found
6510,精測,63620be1-c28d-4bd9-b44b-da36bf8fd95c,daily.found|stage.found
6515,穎崴,79e5d9ad-cd16-4a9f-ad33-5c023a5d4bdc,daily.found|stage.found
6526,達發,b981ee8d-3b0f-4358-9db5-5a09104e18e5,stage.found
6533,晶心科,2a2339e1-8b9a-4f07-b079-a49be7454739,stage.found
6538,倉和,befc4420-0fef-4392-aa67-b1777572a098,stage.found
6588,東典光電,ef253ce5-8af3-4b29-830a-a365317fcbd7,stage.found
6668,中揚光,c8ca946a-0c3b-42bd-ac3b-046270cdeaf7,stage.found
6669,緯穎,1becbf00-739f-4947-9bad-c4b8f741b02f,daily.found|stage.found
6674,鋐寶科技,91b307ae-1041-4c37-a4ad-fa04e37f89b3,stage.found
6683,雍智科技,3378532d-cf91-412b-9efa-8f26d6f220fc,stage.found
6693,廣閎科,9acd421c-382d-467f-a048-82132fafe086,stage.found
6706,惠特,351aaf8a-c4d4-4295-9b7c-fbca174c8707,stage.found
6770,力積電,61c0c546-0c22-4b34-ad0e-3f435e1e96b0,stage.found
6805,富世達,6cd3b505-b07f-4c49-9e7f-7d28523e48e1,stage.found
6834,天二科技,a3ad4087-902d-4f11-b51a-3abb64d91680,stage.found
6861,睿生光電,59fa23da-66d0-476b-9395-2eb7b8939ec2,stage.found
